TimeDeltaIndex,Time_s,P_fuel_kW,P_thermal_kW,T_out_degC,G_losses,eta,T_ext_degC,P_demand_kW,T_supply_degC,T_return_degC,anomaly
0,0,5733.94,5937.5,20,750,1.04,19.1,612.31,75,52.42,0
300,300,5733.94,5155.89,48.77,750,0.9,18.93,609.32,75,52.54,0
600,600,3092.44,2719.57,72.76,750,0.88,18.77,606.34,75,52.66,0
900,900,774.76,657.43,74.84,750,0.85,18.6,603.36,75,52.77,0
1200,1200,757.55,642.27,74.87,750,0.85,18.43,600.37,75,52.89,0
1500,1500,754.74,639.47,74.88,750,0.85,18.27,597.39,75,53.01,3
1800,1800,751.94,636.68,74.9,750,0.85,18.1,594.4,75,53.12,3
2100,2100,749.18,633.93,74.91,750,0.85,17.93,591.42,75,53.24,3
2400,2400,746.4,631.17,74.92,750,0.85,17.77,588.44,75,53.36,3
2700,2700,743.66,628.45,74.93,750,0.85,17.6,585.45,75,53.48,3
3000,3000,740.54,625.36,74.94,750,0.84,17.43,582.47,75,53.59,3
3300,3300,737.49,622.37,74.95,750,0.84,17.27,579.48,75,53.71,3
3600,3600,735.03,619.97,74.95,750,0.84,17.1,576.5,75,53.83,3
3900,3900,734.04,619.01,74.96,750,0.84,16.92,575.65,75,53.86,3
4200,4200,733.24,618.22,74.96,750,0.84,16.75,574.8,75,53.89,3
4500,4500,732.57,617.54,74.97,750,0.84,16.57,573.94,75,53.93,3
4800,4800,731.95,616.91,74.97,750,0.84,16.4,573.09,75,53.96,3
5100,5100,731.32,616.27,74.97,750,0.84,16.22,572.24,75,53.99,3
5400,5400,730.6,615.55,74.98,750,0.84,16.05,571.39,75,54.03,3
5700,5700,729.88,614.84,74.98,750,0.84,15.87,570.53,75,54.06,3
6000,6000,729.17,614.12,74.98,750,0.84,15.7,569.68,75,54.09,3
6300,6300,728.46,613.42,74.99,750,0.84,15.52,568.83,75,54.13,3
6600,6600,727.76,612.72,74.99,750,0.84,15.35,567.98,75,54.16,3
6900,6900,727.08,612.04,74.99,750,0.84,15.17,567.12,75,54.19,3
7200,7200,726.41,611.38,74.99,750,0.84,15,566.27,75,54.23,0
7500,7500,735.76,619.14,75.03,750,0.84,14.91,565.97,75.05,54.29,0
7800,7800,739.25,621.91,75.07,750,0.84,14.82,565.68,75.09,54.35,0
8100,8100,738.94,621.46,75.12,750,0.84,14.72,565.38,75.14,54.41,0
8400,8400,736.91,619.55,75.17,750,0.84,14.63,565.09,75.18,54.47,0
8700,8700,735.22,617.94,75.22,750,0.84,14.54,564.79,75.23,54.53,0
9000,9000,735.96,618.38,75.27,750,0.84,14.45,564.49,75.28,54.59,0
9300,9300,736.65,618.78,75.31,750,0.84,14.36,564.2,75.32,54.65,0
9600,9600,736.53,618.49,75.36,750,0.84,14.27,563.9,75.37,54.71,0
9900,9900,736.3,618.11,75.41,750,0.84,14.17,563.61,75.41,54.77,0
10200,10200,736.56,618.16,75.45,750,0.84,14.08,563.31,75.46,54.83,0
10500,10500,737.93,619.14,75.5,750,0.84,13.99,563.01,75.5,54.89,0
10800,10800,741.02,621.59,75.54,750,0.84,13.9,562.72,75.55,54.95,0
11100,11100,740.09,620.89,75.59,750,0.84,13.8,564.99,75.6,54.91,0
11400,11400,741.42,622.12,75.64,750,0.84,13.7,567.26,75.65,54.88,0
11700,11700,744.2,624.6,75.69,750,0.84,13.6,569.54,75.7,54.84,0
12000,12000,747.66,627.65,75.74,750,0.84,13.5,571.81,75.75,54.8,0
12300,12300,750.97,630.58,75.79,750,0.84,13.4,574.08,75.8,54.77,0
12600,12600,753.36,632.71,75.84,750,0.84,13.3,576.36,75.85,54.73,0
12900,12900,755.82,634.91,75.89,750,0.84,13.2,578.63,75.9,54.69,0
13200,13200,758.06,636.93,75.93,750,0.84,13.1,580.9,75.95,54.66,0
13500,13500,760.5,639.12,75.98,750,0.84,13,583.18,76,54.62,0
13800,13800,763.61,641.87,76.03,750,0.84,12.9,585.45,76.05,54.59,0
14100,14100,767.85,645.59,76.08,750,0.84,12.8,587.72,76.1,54.55,0
14400,14400,773.69,650.67,76.13,750,0.84,12.7,590,76.15,54.51,0
14700,14700,768.6,646.53,76.17,750,0.84,12.63,592.29,76.18,54.46,0
15000,15000,768.32,646.47,76.2,750,0.84,12.57,594.58,76.22,54.4,0
15300,15300,771.15,649.05,76.23,750,0.84,12.5,596.88,76.25,54.35,0
15600,15600,775.39,652.83,76.27,750,0.84,12.43,599.17,76.28,54.29,0
15900,15900,779.34,656.38,76.3,750,0.84,12.37,601.47,76.32,54.24,0
16200,16200,781.3,658.23,76.33,750,0.84,12.3,603.76,76.35,54.18,0
16500,16500,783.35,660.16,76.36,750,0.84,12.23,606.06,76.38,54.13,0
16800,16800,785.52,662.2,76.4,750,0.84,12.17,608.35,76.42,54.08,0
17100,17100,787.94,664.44,76.43,750,0.84,12.1,610.64,76.45,54.02,0
17400,17400,790.85,667.11,76.46,750,0.84,12.03,612.94,76.48,53.97,0
17700,17700,794.49,670.39,76.5,750,0.84,11.97,615.23,76.52,53.91,0
18000,18000,799.1,674.5,76.53,750,0.84,11.9,617.53,76.55,53.86,0
18300,18300,788.94,666.02,76.53,750,0.84,11.92,618.54,76.54,53.81,0
18600,18600,785.77,663.48,76.52,750,0.84,11.93,619.54,76.53,53.76,0
18900,18900,787.12,664.79,76.52,750,0.84,11.95,620.55,76.53,53.71,0
19200,19200,790.52,667.86,76.51,750,0.84,11.97,621.56,76.52,53.66,0
19500,19500,793.5,670.57,76.5,750,0.85,11.98,622.57,76.51,53.61,0
19800,19800,793.59,670.81,76.49,750,0.85,12,623.58,76.5,53.57,0
20100,20100,793.77,671.13,76.48,750,0.85,12.02,624.59,76.49,53.52,0
20400,20400,794.55,671.97,76.47,750,0.85,12.03,625.6,76.48,53.47,0
20700,20700,795.56,673.01,76.47,750,0.85,12.05,626.61,76.47,53.42,0
21000,21000,796.58,674.05,76.46,750,0.85,12.07,627.62,76.47,53.37,0
21300,21300,797.37,674.88,76.45,750,0.85,12.08,628.63,76.46,53.32,0
21600,21600,797.68,675.31,76.44,750,0.85,12.1,629.64,76.45,53.28,0
21900,21900,786.15,666.18,76.37,750,0.85,12.26,632.87,76.37,53.07,0
22200,22200,783.54,664.69,76.3,750,0.85,12.42,636.1,76.29,52.86,0
22500,22500,786.7,668.14,76.21,750,0.85,12.57,639.32,76.21,52.64,0
22800,22800,792.46,673.84,76.13,750,0.85,12.73,642.55,76.13,52.43,0
23100,23100,797.66,679.08,76.05,750,0.85,12.89,645.78,76.05,52.22,0
23400,23400,799.16,681.15,75.97,750,0.85,13.05,649.01,75.97,52.01,0
23700,23700,800.72,683.28,75.89,750,0.85,13.21,652.23,75.9,51.8,0
24000,24000,803.59,686.55,75.81,750,0.85,13.37,655.46,75.82,51.59,0
24300,24300,806.59,689.95,75.73,750,0.86,13.52,658.69,75.74,51.38,0
24600,24600,808.66,692.54,75.65,750,0.86,13.68,661.92,75.66,51.17,0
24900,24900,808.74,693.41,75.57,750,0.86,13.84,665.15,75.58,50.96,0
25200,25200,805.79,691.62,75.49,750,0.86,14,668.37,75.5,50.75,0
25500,25500,822.62,706.57,75.44,750,0.86,14.17,670.45,75.46,50.69,0
25800,25800,830.06,713.32,75.39,750,0.86,14.33,672.52,75.42,50.63,0
26100,26100,831.45,714.77,75.35,750,0.86,14.5,674.59,75.38,50.56,0
26400,26400,830.09,713.83,75.31,750,0.86,14.67,676.66,75.33,50.5,0
26700,26700,829.31,713.38,75.27,750,0.86,14.83,678.74,75.29,50.44,0
27000,27000,832.41,716.36,75.23,750,0.86,15,680.81,75.25,50.38,0
27300,27300,835.39,719.21,75.19,750,0.86,15.17,682.88,75.21,50.31,0
27600,27600,837.59,721.39,75.15,750,0.86,15.33,684.95,75.17,50.25,0
27900,27900,839.43,723.25,75.11,750,0.86,15.5,687.02,75.12,50.19,0
28200,28200,841.12,724.99,75.06,750,0.86,15.67,689.1,75.08,50.13,0
28500,28500,842.92,726.82,75.02,750,0.86,15.83,691.17,75.04,50.06,0
28800,28800,833.11,718.45,74.99,750,0.86,16,693.24,75,50,0
29100,29100,846.08,729.83,74.98,750,0.86,16.17,692.97,75,50,0
29400,29400,854.31,737.04,74.98,750,0.86,16.33,692.69,75,50,0
29700,29700,858.59,740.8,74.98,750,0.86,16.5,692.41,75,50,0
30000,30000,859.74,741.81,74.98,750,0.86,16.67,692.14,75,50,0
30300,30300,858.58,740.79,74.98,750,0.86,16.83,691.86,75,50,0
30600,30600,855.93,738.46,74.98,750,0.86,17,691.59,75,50,0
30900,30900,852.58,735.53,74.99,750,0.86,17.17,691.31,75,50,0
31200,31200,849.37,732.72,74.99,750,0.86,17.33,691.04,75,50,0
31500,31500,847.11,730.73,74.99,750,0.86,17.5,690.76,75,50,0
31800,31800,846.6,730.29,75,750,0.86,17.67,690.49,75,50,0
32100,32100,848.66,732.1,74.99,750,0.86,17.83,690.21,75,50,0
32400,32400,849.15,732.53,74.99,750,0.86,18,689.94,75,50,0
32700,32700,847.48,731,75,750,0.86,18.17,688.21,75,50.02,0
33000,33000,845.67,729.35,75,750,0.86,18.33,686.48,75,50.03,0
33300,33300,843.74,727.6,75,750,0.86,18.5,684.75,75,50.05,0
33600,33600,841.72,725.78,75,750,0.86,18.67,683.03,75,50.06,0
33900,33900,839.65,723.9,75,750,0.86,18.83,681.3,75,50.08,0
34200,34200,837.55,722,75,750,0.86,19,679.57,75,50.1,0
34500,34500,835.44,720.09,75.01,750,0.86,19.17,677.84,75,50.11,0
34800,34800,833.35,718.2,75.01,750,0.86,19.33,676.12,75,50.13,0
35100,35100,831.31,716.36,75.01,750,0.86,19.5,674.39,75,50.14,0
35400,35400,829.27,714.51,75.01,750,0.86,19.67,672.66,75,50.16,0
35700,35700,827.21,712.65,75.01,750,0.86,19.83,670.94,75,50.18,0
36000,36000,825.91,711.48,75.01,750,0.86,20,669.21,75,50.19,0
36300,36300,823.11,708.64,75.01,750,0.86,20.14,666.91,75,50.28,0
36600,36600,820.55,706.04,75.01,750,0.86,20.28,664.61,75,50.37,0
36900,36900,818.15,703.59,75.01,750,0.86,20.42,662.31,75,50.46,0
37200,37200,815.87,701.24,75.01,750,0.86,20.57,660.01,75,50.55,0
37500,37500,813.63,698.94,75.01,750,0.86,20.71,657.71,75,50.64,0
37800,37800,811.36,696.62,75.01,750,0.86,20.85,655.41,75,50.73,0
38100,38100,809.01,694.22,75.02,750,0.86,20.99,653.11,75,50.82,0
38400,38400,806.63,691.8,75.02,750,0.86,21.13,650.81,75,50.91,0
38700,38700,804.19,689.33,75.02,750,0.86,21.28,648.51,75,51,0
39000,39000,801.73,686.84,75.02,750,0.86,21.42,646.21,75,51.09,0
39300,39300,799.45,684.53,75.02,750,0.86,21.56,643.91,75,51.18,0
39600,39600,797.54,682.62,75.02,750,0.86,21.7,641.61,75,51.27,0
39900,39900,794.74,679.77,75.02,750,0.86,21.83,639.24,75,51.37,0
40200,40200,792.12,677.11,75.02,750,0.85,21.95,636.86,75,51.46,0
40500,40500,789.63,674.61,75.02,750,0.85,22.08,634.49,75,51.55,0
40800,40800,787.22,672.2,75.02,750,0.85,22.2,632.11,75,51.65,0
41100,41100,784.85,669.82,75.02,750,0.85,22.33,629.74,75,51.74,0
41400,41400,782.45,667.43,75.02,750,0.85,22.45,627.37,75,51.83,0
41700,41700,779.99,664.96,75.02,750,0.85,22.58,624.99,75,51.92,0
42000,42000,777.52,662.48,75.02,750,0.85,22.7,622.62,75,52.02,0
42300,42300,774.98,659.95,75.02,750,0.85,22.83,620.25,75,52.11,0
42600,42600,772.4,657.4,75.02,750,0.85,22.95,617.87,75,52.2,0
42900,42900,770.01,655.03,75.02,750,0.85,23.08,615.5,75,52.3,0
43200,43200,768.02,653.07,75.02,750,0.85,23.2,613.13,75,52.39,0
43500,43500,767.15,652.24,75.02,750,0.85,23.3,613.13,75,52.39,0
43800,43800,766.67,651.8,75.02,750,0.85,23.4,613.13,75,52.39,0
44100,44100,766.48,651.63,75.02,750,0.85,23.5,613.13,75,52.39,0
44400,44400,766.47,651.63,75.01,750,0.85,23.6,613.13,75,52.39,0
44700,44700,766.54,651.72,75.01,750,0.85,23.7,613.13,75,52.39,0
45000,45000,766.59,651.77,75.01,750,0.85,23.8,613.13,75,52.39,0
45300,45300,766.5,651.69,75.01,750,0.85,23.9,613.13,75,52.39,0
45600,45600,766.29,651.5,75.01,750,0.85,24,613.13,75,52.39,0
45900,45900,766.17,651.39,75.01,750,0.85,24.1,613.13,75,52.39,0
46200,46200,766.06,651.3,75.01,750,0.85,24.2,613.13,75,52.39,0
46500,46500,765.97,651.22,75.01,750,0.85,24.3,613.13,75,52.39,0
46800,46800,765.9,651.16,75.01,750,0.85,24.4,613.13,75,52.39,0
47100,47100,765.82,651.09,75.01,750,0.85,24.47,613.13,75,52.39,0
47400,47400,765.75,651.03,75.01,750,0.85,24.53,613.13,75,52.39,0
47700,47700,765.68,650.97,75.01,750,0.85,24.6,613.13,75,52.39,0
48000,48000,765.62,650.92,75,750,0.85,24.67,613.13,75,52.39,0
48300,48300,765.56,650.87,75,750,0.85,24.73,613.13,75,52.39,0
48600,48600,765.5,650.82,75,750,0.85,24.8,613.13,75,52.39,0
48900,48900,765.44,650.77,75,750,0.85,24.87,613.13,75,52.39,0
49200,49200,765.38,650.71,75,750,0.85,24.93,613.13,75,52.39,0
49500,49500,765.32,650.66,75,750,0.85,25,613.13,75,52.39,0
49800,49800,765.26,650.61,75,750,0.85,25.07,613.13,75,52.39,0
50100,50100,765.2,650.56,75,750,0.85,25.13,613.13,75,52.39,0
50400,50400,765.15,650.52,75,750,0.85,25.2,613.13,75,52.39,0
50700,50700,765.1,650.48,75,750,0.85,25.23,613.13,75,52.39,0
51000,51000,765.07,650.44,75,750,0.85,25.27,613.13,75,52.39,0
51300,51300,765.03,650.42,75,750,0.85,25.3,613.13,75,52.39,0
51600,51600,765.01,650.39,75,750,0.85,25.33,613.13,75,52.39,0
51900,51900,764.98,650.37,75,750,0.85,25.37,613.13,75,52.39,0
52200,52200,764.95,650.34,75,750,0.85,25.4,613.13,75,52.39,0
52500,52500,764.92,650.32,75,750,0.85,25.43,613.13,75,52.39,0
52800,52800,764.89,650.29,75,750,0.85,25.47,613.13,75,52.39,0
53100,53100,764.86,650.26,75,750,0.85,25.5,613.13,75,52.39,0
53400,53400,764.83,650.24,75,750,0.85,25.53,613.13,75,52.39,0
53700,53700,764.8,650.21,75,750,0.85,25.57,613.13,75,52.39,0
54000,54000,764.77,650.19,75,750,0.85,25.6,613.13,75,52.39,0
54300,54300,764.76,650.18,75,750,0.85,25.6,613.13,75,52.39,0
54600,54600,764.76,650.18,75,750,0.85,25.6,613.13,75,52.39,0
54900,54900,764.76,650.18,75,750,0.85,25.6,613.13,75,52.39,0
55200,55200,764.76,650.18,75,750,0.85,25.6,613.13,75,52.39,0
55500,55500,764.76,650.18,75,750,0.85,25.6,613.13,75,52.39,0
55800,55800,764.76,650.18,75,750,0.85,25.6,613.13,75,52.39,0
56100,56100,764.76,650.18,75,750,0.85,25.6,613.13,75,52.39,0
56400,56400,764.76,650.18,75,750,0.85,25.6,613.13,75,52.39,0
56700,56700,764.76,650.18,75,750,0.85,25.6,613.13,75,52.39,0
57000,57000,764.76,650.18,75,750,0.85,25.6,613.13,75,52.39,0
57300,57300,764.76,650.18,75,750,0.85,25.6,613.13,75,52.39,0
57600,57600,764.76,650.18,75,750,0.85,25.6,613.13,75,52.39,0
57900,57900,764.78,650.2,75,750,0.85,25.57,613.13,75,52.39,0
58200,58200,764.81,650.22,75,750,0.85,25.53,613.13,75,52.39,0
58500,58500,764.84,650.25,75,750,0.85,25.5,613.13,75,52.39,0
58800,58800,764.86,650.27,75,750,0.85,25.47,613.13,75,52.39,0
59100,59100,764.89,650.3,75,750,0.85,25.43,613.13,75,52.39,0
59400,59400,764.92,650.32,75,750,0.85,25.4,613.13,75,52.39,0
59700,59700,764.95,650.35,75,750,0.85,25.37,613.13,75,52.39,0
60000,60000,764.98,650.37,75,750,0.85,25.33,613.13,75,52.39,0
60300,60300,765.01,650.4,75,750,0.85,25.3,613.13,75,52.39,0
60600,60600,765.04,650.42,75,750,0.85,25.27,613.13,75,52.39,0
60900,60900,765.07,650.44,75,750,0.85,25.23,613.13,75,52.39,0
61200,61200,765.09,650.46,75,750,0.85,25.2,613.13,75,52.39,0
61500,61500,765.15,650.52,75,750,0.85,25.13,613.13,75,52.39,0
61800,61800,765.22,650.57,75,750,0.85,25.05,613.13,75,52.39,0
62100,62100,765.28,650.63,75,750,0.85,24.98,613.13,75,52.39,0
62400,62400,765.35,650.69,75,750,0.85,24.9,613.13,75,52.39,0
62700,62700,765.41,650.74,75,750,0.85,24.83,613.13,75,52.39,0
63000,63000,765.48,650.8,75,750,0.85,24.75,613.13,75,52.39,0
63300,63300,765.54,650.86,75,750,0.85,24.68,613.13,75,52.39,0
63600,63600,765.61,650.91,75,750,0.85,24.6,613.13,75,52.39,0
63900,63900,765.68,650.97,75,750,0.85,24.53,613.13,75,52.39,0
64200,64200,765.74,651.03,75,750,0.85,24.45,613.13,75,52.39,0
64500,64500,765.81,651.08,75,750,0.85,24.38,613.13,75,52.39,0
64800,64800,765.86,651.12,75,750,0.85,24.3,613.13,75,52.39,0
65100,65100,765.96,651.22,75,750,0.85,24.18,613.13,75,52.39,0
65400,65400,766.07,651.3,75,750,0.85,24.07,613.13,75,52.39,0
65700,65700,766.17,651.39,75,750,0.85,23.95,613.13,75,52.39,0
66000,66000,766.27,651.48,75,750,0.85,23.83,613.13,75,52.39,0
66300,66300,766.37,651.57,75,750,0.85,23.72,613.13,75,52.39,0
66600,66600,766.47,651.65,75,750,0.85,23.6,613.13,75,52.39,0
66900,66900,766.57,651.74,75,750,0.85,23.48,613.13,75,52.39,0
67200,67200,766.67,651.83,75,750,0.85,23.37,613.13,75,52.39,0
67500,67500,766.78,651.91,75,750,0.85,23.25,613.13,75,52.39,0
67800,67800,766.88,652.01,75,750,0.85,23.13,613.13,75,52.39,0
68100,68100,766.98,652.09,75,750,0.85,23.02,613.13,75,52.39,0
68400,68400,767.06,652.16,75,750,0.85,22.9,613.13,75,52.39,0
68700,68700,767.2,652.28,75,750,0.85,22.76,613.13,75,52.39,0
69000,69000,767.33,652.39,75,750,0.85,22.62,613.13,75,52.39,0
69300,69300,767.45,652.49,75,750,0.85,22.47,613.13,75,52.39,0
69600,69600,767.57,652.6,75,750,0.85,22.33,613.13,75,52.39,0
69900,69900,767.69,652.7,75,750,0.85,22.19,613.13,75,52.39,0
70200,70200,767.82,652.81,75,750,0.85,22.05,613.13,75,52.39,0
70500,70500,767.94,652.91,75,750,0.85,21.91,613.13,75,52.39,0
70800,70800,768.06,653.02,75,750,0.85,21.77,613.13,75,52.39,0
71100,71100,768.19,653.13,75,750,0.85,21.63,613.13,75,52.39,0
71400,71400,768.32,653.24,75,750,0.85,21.48,613.13,75,52.39,0
71700,71700,768.44,653.34,75,750,0.85,21.34,613.13,75,52.39,0
72000,72000,768.53,653.43,75,750,0.85,21.2,613.13,75,52.39,0
72300,72300,768.67,653.54,75,750,0.85,21.07,613.13,75,52.39,0
72600,72600,768.8,653.65,75,750,0.85,20.93,613.13,75,52.39,0
72900,72900,768.92,653.75,75,750,0.85,20.8,613.13,75,52.39,0
73200,73200,769.03,653.85,75,750,0.85,20.67,613.13,75,52.39,0
73500,73500,769.14,653.95,75,750,0.85,20.53,613.13,75,52.39,0
73800,73800,769.25,654.04,75,750,0.85,20.4,613.13,75,52.39,0
74100,74100,769.37,654.14,75,750,0.85,20.27,613.13,75,52.39,0
74400,74400,769.49,654.24,75,750,0.85,20.13,613.13,75,52.39,0
74700,74700,769.61,654.35,75,750,0.85,20,613.13,75,52.39,0
75000,75000,769.73,654.45,75,750,0.85,19.87,613.13,75,52.39,0
75300,75300,769.84,654.55,75,750,0.85,19.73,613.13,75,52.39,0
75600,75600,769.93,654.63,75,750,0.85,19.6,613.13,75,52.39,0
75900,75900,770.08,654.75,75,750,0.85,19.45,613.13,75,52.39,0
76200,76200,770.22,654.87,75,750,0.85,19.3,613.13,75,52.39,0
76500,76500,770.35,654.99,75,750,0.85,19.15,613.13,75,52.39,0
76800,76800,770.48,655.1,75,750,0.85,19,613.13,75,52.39,0
77100,77100,770.61,655.21,75,750,0.85,18.85,613.13,75,52.39,0
77400,77400,770.73,655.32,75,750,0.85,18.7,613.13,75,52.39,0
77700,77700,770.86,655.43,75,750,0.85,18.55,613.13,75,52.39,0
78000,78000,771,655.54,75,750,0.85,18.4,613.13,75,52.39,0
78300,78300,771.13,655.66,75,750,0.85,18.25,613.13,75,52.39,0
78600,78600,771.27,655.77,75,750,0.85,18.1,613.13,75,52.39,0
78900,78900,771.39,655.88,75,750,0.85,17.95,613.13,75,52.39,0
79200,79200,771.5,655.97,75,750,0.85,17.8,613.13,75,52.39,0
79500,79500,771.65,656.1,75,750,0.85,17.65,613.13,75,52.39,0
79800,79800,771.79,656.22,75,750,0.85,17.5,613.13,75,52.39,0
80100,80100,771.92,656.34,75,750,0.85,17.35,613.13,75,52.39,0
80400,80400,772.05,656.45,75,750,0.85,17.2,613.13,75,52.39,0
80700,80700,772.18,656.56,75,750,0.85,17.05,613.13,75,52.39,0
81000,81000,772.3,656.67,75,750,0.85,16.9,613.13,75,52.39,0
81300,81300,772.43,656.78,75,750,0.85,16.75,613.13,75,52.39,0
81600,81600,772.57,656.89,75,750,0.85,16.6,613.13,75,52.39,0
81900,81900,772.7,657.01,75,750,0.85,16.45,613.13,75,52.39,0
82200,82200,772.84,657.12,75,750,0.85,16.3,613.13,75,52.39,0
82500,82500,772.96,657.23,75,750,0.85,16.15,613.13,75,52.39,0
82800,82800,773.07,657.32,75,750,0.85,16,613.13,75,52.39,0
83100,83100,779.49,662.73,75.03,750,0.85,15.85,613.21,75.03,52.42,0
83400,83400,782.83,665.49,75.06,750,0.85,15.7,613.29,75.07,52.45,0
83700,83700,783.92,666.31,75.09,750,0.85,15.55,613.38,75.1,52.49,0
84000,84000,783.58,665.9,75.13,750,0.85,15.4,613.46,75.13,52.52,0
84300,84300,782.62,664.97,75.16,750,0.85,15.25,613.54,75.17,52.55,0
84600,84600,781.89,664.23,75.2,750,0.85,15.1,613.63,75.2,52.58,0
84900,84900,782.2,664.38,75.23,750,0.85,14.95,613.71,75.23,52.61,0
85200,85200,784.14,665.94,75.26,750,0.85,14.8,613.8,75.27,52.65,0
85500,85500,783.96,665.67,75.29,750,0.85,14.65,613.88,75.3,52.68,0
85800,85800,783.09,664.8,75.33,750,0.85,14.5,613.96,75.33,52.71,0
86100,86100,784.89,666.25,75.36,750,0.85,14.35,614.05,75.37,52.74,0
86400,86400,792.74,672.9,75.39,750,0.85,14.2,614.13,75.4,52.77,0
86700,86700,785.93,666.72,75.43,750,0.85,14.13,612.88,75.43,52.86,0
87000,87000,782.08,663.11,75.47,750,0.85,14.07,611.63,75.47,52.94,0
87300,87300,780.39,661.37,75.5,750,0.85,14,610.37,75.5,53.03,0
87600,87600,780.07,660.81,75.53,750,0.85,13.93,609.12,75.53,53.11,0
87900,87900,780.34,660.75,75.57,750,0.85,13.87,607.87,75.57,53.2,0
88200,88200,780.39,660.51,75.6,750,0.85,13.8,606.62,75.6,53.28,0
88500,88500,779.44,659.41,75.63,750,0.85,13.73,605.36,75.63,53.36,0
88800,88800,778.26,658.11,75.67,750,0.85,13.67,604.11,75.67,53.45,0
89100,89100,776.17,656.03,75.7,750,0.85,13.6,602.86,75.7,53.53,0
89400,89400,773.63,653.57,75.74,750,0.84,13.53,601.61,75.73,53.62,0
89700,89700,774.06,653.67,75.77,750,0.84,13.47,600.36,75.77,53.7,0
90000,90000,780.85,659.26,75.8,750,0.84,13.4,599.1,75.8,53.79,0
90300,90300,772.98,652.08,75.84,750,0.84,13.33,597.07,75.83,53.9,0
90600,90600,768.17,647.58,75.87,750,0.84,13.27,595.03,75.87,54.02,0
90900,90900,765.63,645.03,75.91,750,0.84,13.2,592.99,75.9,54.13,0
91200,91200,764.51,643.71,75.94,750,0.84,13.13,590.96,75.93,54.25,0
91500,91500,763.99,642.92,75.98,750,0.84,13.07,588.92,75.97,54.36,0
91800,91800,763.25,641.93,76.01,750,0.84,13,586.88,76,54.48,0
92100,92100,761.46,640.04,76.04,750,0.84,12.93,584.85,76.03,54.59,0
92400,92400,759.5,638.01,76.08,750,0.84,12.87,582.81,76.07,54.71,0
92700,92700,756.42,635.02,76.11,750,0.84,12.8,580.77,76.1,54.82,0
93000,93000,752.62,631.43,76.15,750,0.84,12.73,578.74,76.13,54.94,0
93300,93300,751.81,630.4,76.18,750,0.84,12.67,576.7,76.17,55.05,0
93600,93600,757.68,635.1,76.21,750,0.84,12.6,574.66,76.2,55.17,0
93900,93900,751.87,630.34,76.23,750,0.84,12.56,577.17,76.22,55.09,0
94200,94200,750.44,629.33,76.25,750,0.84,12.52,579.67,76.24,55.01,0
94500,94500,752.22,631.07,76.27,750,0.84,12.48,582.17,76.26,54.94,0
94800,94800,755.99,634.52,76.29,750,0.84,12.43,584.67,76.28,54.86,0
95100,95100,760.59,638.68,76.3,750,0.84,12.39,587.17,76.3,54.79,0
95400,95400,764.82,642.53,76.32,750,0.84,12.35,589.68,76.32,54.71,0
95700,95700,767.5,645.04,76.34,750,0.84,12.31,592.18,76.35,54.63,0
96000,96000,769.53,646.99,76.36,750,0.84,12.27,594.68,76.37,54.56,0
96300,96300,771.17,648.64,76.38,750,0.84,12.23,597.18,76.39,54.48,0
96600,96600,772.46,650,76.4,750,0.84,12.18,599.68,76.41,54.41,0
96900,96900,775.43,652.77,76.42,750,0.84,12.14,602.19,76.43,54.33,0
97200,97200,782.13,658.66,76.44,750,0.84,12.1,604.69,76.45,54.25,0
97500,97500,783.59,660.34,76.46,750,0.84,12.06,608.25,76.47,54.14,0
97800,97800,786.23,663,76.48,750,0.84,12.02,611.81,76.49,54.02,0
98100,98100,789.72,666.38,76.5,750,0.84,11.98,615.37,76.51,53.9,0
98400,98400,793.76,670.22,76.52,750,0.84,11.93,618.93,76.53,53.78,0
98700,98700,798.01,674.25,76.53,750,0.84,11.89,622.49,76.55,53.67,0
99000,99000,802.16,678.19,76.55,750,0.85,11.85,626.05,76.57,53.55,0
99300,99300,805.88,681.79,76.57,750,0.85,11.81,629.62,76.6,53.43,0
99600,99600,809.77,685.54,76.59,750,0.85,11.77,633.18,76.62,53.31,0
99900,99900,812.69,688.48,76.61,750,0.85,11.73,636.74,76.64,53.2,0
100200,100200,815.14,691.03,76.63,750,0.85,11.68,640.3,76.66,53.08,0
100500,100500,819.1,694.84,76.65,750,0.85,11.64,643.86,76.68,52.96,0
100800,100800,826.57,701.59,76.67,750,0.85,11.6,647.42,76.7,52.84,0
101100,101100,828.23,703.84,76.69,750,0.85,11.58,652.93,76.71,52.64,0
101400,101400,831.87,707.78,76.7,750,0.85,11.55,658.44,76.72,52.44,0
101700,101700,836.96,712.94,76.71,750,0.85,11.53,663.95,76.74,52.23,0
102000,102000,842.95,718.88,76.72,750,0.85,11.5,669.46,76.75,52.03,0
102300,102300,849.3,725.14,76.73,750,0.85,11.48,674.97,76.76,51.83,0
102600,102600,855.46,731.27,76.74,750,0.85,11.45,680.47,76.77,51.63,0
102900,102900,860.88,736.79,76.75,750,0.86,11.43,685.98,76.79,51.42,0
103200,103200,865.94,742.01,76.76,750,0.86,11.4,691.49,76.8,51.22,0
103500,103500,870.68,747.03,76.77,750,0.86,11.38,697,76.81,51.02,0
103800,103800,875.32,751.97,76.79,750,0.86,11.35,702.51,76.82,50.82,0
104100,104100,880.97,757.71,76.8,750,0.86,11.33,708.02,76.84,50.61,0
104400,104400,888.76,765.1,76.81,750,0.86,11.3,713.53,76.85,50.41,0
